date,week,day,planned_focus,wg_subtasks,primary_owner,cto_checkin,ciso_checkin,cio_checkin,vp_product_checkin,clinical_ai_checkin,ops_checkin,program_lead_checkin,sev1_open,sev2_open,burn_in_status,security_status,clinical_safety_status,interop_status,support_status,kpi_status,blockers,decisions_needed,evidence_links,eod_result,next_day_focus,last_updated_utc
2026-11-06,Week 5,Friday,Publish Week 5 security and KPI checkpoint,WG-003-B|WG-005-C|WG-007-B,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,in_progress,in_progress,in_progress,in_progress,,,,"",Prepare Week 6 closeout pack,
2026-11-09,Week 6,Monday,Consolidate drill corrective actions and evidence,WG-002-C,Ops + Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,pending,,,,"",Finalize change-control policy,
2026-11-10,Week 6,Tuesday,Finalize model and reasoner change-control policy,WG-004-C,Clinical AI + Compliance,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,in_progress,pending,pending,pending,,,,"",Review support SLA matrix,
2026-11-11,Week 6,Wednesday,Review support SLA matrix with owners,WG-006-C,CIO + Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,in_progress,pending,,,,"",Run closure check,
2026-11-12,Week 6,Thursday,Run closure check for unresolved corrective actions,WG-002-C|WG-004-C|WG-006-C,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,in_progress,pending,in_progress,pending,,,,"",Publish Week 6 governance packet,
2026-11-13,Week 6,Friday,Publish Week 6 governance packet and close targets,WG-002-C|WG-004-C|WG-006-C,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,in_progress,pending,in_progress,pending,,,,"",Start Week 7 residual risk work,
2026-11-16,Week 7,Monday,Complete burn-in issue closure and residual proposals,WG-001-C,CTO + Ops + Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,pending,,,,"",Finalize residual security register,
2026-11-17,Week 7,Tuesday,Finalize residual risk register with expiries,WG-003-C,CISO + CIO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Build 2027 option model,
2026-11-18,Week 7,Wednesday,Build 2027 option model cost risk benefit,WG-008-A,CTO + CIO + CISO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Cross-role review of options,
2026-11-19,Week 7,Thursday,Cross-role review of 2027 options and assumptions,WG-001-C|WG-003-C|WG-008-A,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Publish Week 7 pre-read,
2026-11-20,Week 7,Friday,Publish Week 7 closeout and strategy pre-read,WG-001-C|WG-003-C|WG-008-A,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Finalize Week 8 closeout pack,
2026-11-23,Week 8,Monday,Finalize KPI trend and value narrative,WG-007-C,Product + CIO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,in_progress,,,,"",Draft 2027 sequencing plan,
2026-11-24,Week 8,Tuesday,Draft 2027 sequencing plan carry-over and new initiatives,WG-008-B,Program Lead + CTO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,in_progress,,,,"",Finalize funding recommendation,
2026-11-25,Week 8,Wednesday,Finalize funding recommendation and decision log draft,WG-008-C,CTO + CIO + CISO + VP Product,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,in_progress,,,,"",Run final gate review,
2026-11-26,Week 8,Thursday,Run final gate review and collect signoff conditions,WG-007-C|WG-008-B|WG-008-C,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,in_progress,,,,"",Publish Wave G completion packet,
2026-11-27,Week 8,Friday,Publish Wave G completion packet and close targets,WG-007-C|WG-008-B|WG-008-C,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,complete,complete,complete,complete,complete,complete,,,,"",Wave G closed,
